Date,BAC,JPM,WFC,C,GS,MS,USB,TFC,PNC,TD,FITB,KEY,MTB,HBAN,CFG,RF,BK,STT,ALLY,NYCB,,
5/5/23,27.620001,136.440002,37.459999,45.799999,325.059998,83.790001,30.68,27.43,116.610001,82.599998,24.52,9.98,118.75,9.86,26.254999,16.459999,40.91,68.599998,25.09,9.82,,
5/8/23,28.08,137.490005,38.43,46.880001,329.640015,85.480003,31.51,29.74,118,82.690002,25.559999,10.05,120.5,10.08,27,16.9,41.529999,69.400002,25.5,10.22,,
5/9/23,27.42,135.929993,37.939999,45.91,325.040009,84,29.4,28.33,115.650002,83.730003,24.110001,9.53,115.349998,9.65,25.52,16.120001,41.259998,68.389999,24.6,9.93,,
5/10/23,27.959999,137.949997,39.200001,47.150002,329.920013,85.07,30.6,29.1,117.290001,81.010002,25.09,9.93,117.919998,9.94,26.440001,16.530001,41.900002,69.940002,25.879999,10.22,,
5/11/23,27.01,135,37.759998,45.740002,319.660004,82.779999,29,27.040001,112.559998,81.790001,23.790001,9.17,113.029999,9.34,24.99,15.91,40.610001,67.559998,24.959999,9.82,,
5/12/23,27.52,136.820007,38.459999,46.330002,322.040009,83,29.24,27.16,113.699997,81.5,23.870001,9.2,114.309998,9.35,25,15.63,41.049999,68.389999,25.49,9.9,,
5/15/23,27.1,134.270004,37.599998,45.689999,320.420013,82.669998,29.16,27.27,111.900002,82.360001,23.76,9.05,112.089996,9.29,24.799999,15.74,40.310001,67.099998,25.219999,10.18,,
5/16/23,27.780001,135.460007,38.68,45.93,322.5,82.720001,29.5,27.75,113.730003,82.230003,24.209999,9.49,115.25,9.71,25.799999,16.120001,40.380001,67.449997,25.450001,10.38,,
5/17/23,27.74,135.899994,38.990002,45.779999,322.660004,82.540001,29,27.75,113.489998,82.629997,24.42,9.7,115.209999,9.69,25.57,16.040001,40.139999,67.660004,25.459999,10.75,,
5/18/23,28.440001,138.270004,40.32,46.98,330,83.699997,30.24,28.780001,118.769997,82.029999,25.27,10.2,119.529999,10.02,26.219999,16.76,40.470001,68.169998,26.17,10.98,,
5/19/23,28.459999,139.789993,40.330002,46.459999,330,83.790001,30.66,30.02,120.639999,82.25,25.209999,10.07,123,10.31,26.459999,17.059999,41.380001,69.68,27.139999,11.07,,
5/22/23,28.299999,141,40.200001,45.970001,326.149994,82.25,30.540001,29.950001,119.440002,82.5,25.33,9.92,122.279999,10.26,26.51,17.01,41.040001,68.029999,26.639999,10.96,,
5/23/23,28.32,137.539993,41.009998,45.84,323.600006,82,31,30.700001,120.580002,82.349998,25.700001,10.3,124.5,10.57,27.280001,17.530001,41.25,68.529999,26.92,10.89,,
5/24/23,28.33,135.399994,40.889999,45.16,320.390015,82.010002,30.83,30.52,120.160004,81.75,25.51,10.3,122.940002,10.39,27.610001,17.52,40.919998,67.699997,26.629999,10.55,,
5/25/23,27.99,134.820007,40.619999,44.299999,318.920013,81.209999,30.559999,30.23,119.769997,80.290001,25.07,10.18,120.589996,10.22,26.799999,17.34,40.25,66.919998,26.41,10.55,,
5/26/23,28.200001,136.110001,40.900002,44.459999,324.720001,82.970001,30.58,30.5,119.309998,77.800003,25.049999,9.87,121.059998,10.42,26.85,17.440001,40.419998,67.989998,26.370001,10.37,,
5/30/23,28.32,136.800003,41.240002,44.73,332.079987,84.160004,30.870001,31.059999,119.529999,78.459999,25.4,9.97,123.410004,10.55,27.190001,17.98,40.799999,68.389999,26.84,10.5,,
5/31/23,28.1,136.729996,40.290001,44.200001,326.070007,83.059998,30.15,30.610001,118,78.5,25.1,9.82,122.809998,10.52,26.75,17.709999,40.290001,68.510002,26.67,10.45,,
6/1/23,27.76,136.520004,40.209999,44.68,324.51001,82.580002,30.1,31.040001,117.230003,77.050003,24.459999,9.53,120.059998,10.39,26.120001,17.370001,40.529999,68.800003,26.91,10.4,,
6/2/23,28.16,139.559998,40.619999,45.470001,318.23999,82.940002,31,31.290001,121.68,77.099998,25.450001,9.9,123.529999,10.76,27,17.709999,41.810001,70.650002,27.690001,10.71,,
